cell,0,60,120,180,240,300,360,420,480,540,600,660,720,780,840,900,960,1020,1080,1140,1200,1260,1320,1380,1440,1500,1560,1620,1680,1740,1800,1860,1920,1980,2040,2100,2160,2220,2280,2340,2400,2460,2520,2580,2640,2700,2760,2820,2880,2940,3000,3060,3120,3180,3240,3300,3360,3420,3480,3540,3600,3660,3720,3780,3840,3900,3960,4020,4080,4140,4200,4260,4320,4380
11,1.0111768289598562,1.0161487473972688,1.0216736274032507,1.0206148598829357,1.0232843966757479,1.0246809427763521,1.0246018901118878,1.0199790331247345,1.0136534340878929,1.0067807813717158,1.0019267572352721,0.9964317828601413,0.9934260428804393,0.9914276707060409,0.9886848143253292,0.9870002718334976,0.9866655414050167,0.9876785674584143,0.9884489649000157,0.9878571883343135,0.9886606685640024,0.9899005462806024,0.9913568101433607,0.9948654129805713,0.9995262910270559,1.0055153434632336,1.013029919459684,1.017273719470394,1.024397047768184,1.0257397248381832,1.024727947467473,1.0194061838743669,1.0133216850261308,1.0059107887073133,1.0016634763175303,0.9957178783966575,0.9930376204405772,0.9901254569830886,0.9886697575722915,0.9870461132778915,0.9860310312131519,0.9857268660534653,0.9859280028871761,0.986365984486318,0.9872679447617521,0.98906704529764,0.9914768663244449,0.9963397306129761,0.9993070069179721,1.0014768138724657,1.0066488161965768,1.009452371146841,1.0107071738539373,1.0119690583185006,1.0130254572838193,1.0109880714129174,1.00684993527127,1.0025244402188807,0.999838705471166,0.9973526094647518,0.9943561424068107,0.9912199376959606,0.989110625231758,0.9872856685775302,0.9873658814631459,0.986798990680335,0.9867338604993785,0.9874973153115484,0.9869584649450711,0.9882357918075592,0.9918338461504217,0.9926873081870459,0.9935471098309305,0.9959905903577483
12,1.0156349757228276,1.0212614994348832,1.032550738431081,1.0393224078266692,1.044769555531962,1.0432409874737825,1.035486447020504,1.0261828800918946,1.0182846434512507,1.0090627235234633,1.0006270255975103,0.9972160790944139,0.9931883799418555,0.9910005450781053,0.9884968612525769,0.9866980804370081,0.9864055999407557,0.9880595106228092,0.9868432305051802,0.9856515377636473,0.9859616791980504,0.987007998791703,0.988592277155248,0.9912337943591496,0.9975649202689099,1.0039975157226986,1.0116448955858968,1.0192162351959797,1.0252275735978387,1.0230406450985108,1.0201895719610714,1.0129690418664383,1.0083941827654768,1.0022318610684124,0.9973737407017738,0.9935413275722093,0.9914238766626439,0.9895372354212776,0.9879625669646165,0.9873463764390276,0.9863174700074296,0.9854080608074448,0.9850354956125786,0.9845306985439116,0.9848101900456592,0.9854058603448287,0.9869483595800306,0.9903179716205656,0.9922954723298828,0.9942198608660648,1.001411541358969,1.0062198703370657,1.011840593584312,1.0135076822828601,1.015490627524315,1.0145918851763098,1.0102141116090466,1.0039761654596835,1.0013485224500034,0.9987552404277659,0.9945755225701808,0.9907184443139542,0.9885009831826701,0.9875127066864653,0.9872774320983237,0.9857150873236165,0.9858843481185864,0.9849327993527511,0.9839935754652208,0.9852487250531229,0.9878323405031604,0.9895261146465255,0.9892622710053611,0.991932944572237
13,1.0263371843688451,1.0290635530489647,1.0324679008399338,1.031933504586896,1.0290934822760711,1.024330208620238,1.0174885373190183,1.010892443144858,1.0058352600452438,1.0030886118271212,0.9982082958162054,0.9962342348970996,0.9929535263954303,0.991288878453124,0.9896751481694969,0.9898295858872341,0.9907239141331543,0.9921048657480114,0.9939395079500555,0.9943819626820587,0.9959182946705112,0.9978916658653407,1.0000053426526283,1.001999206061195,1.0055654945136439,1.0074363651260914,1.0093120857638185,1.0112504428543767,1.012345907389712,1.0112301952220937,1.0072119232821903,1.0038745425204878,1.000699925173479,0.9985137218206064,0.9961447935470835,0.9941458264595018,0.9929292842634552,0.992084495108945,0.9909617043175004,0.9907554056168273,0.9918203913594666,0.9915022920097314,0.9898861114100186,0.9899512770731765,0.9922235318359139,0.993405945101315,0.9944356644586139,0.9972873215385238,0.9998463614825944,1.0012497772304876,1.0033224857037613,1.003778780304731,1.000992910715304,1.0004335497768735,0.9998270491442113,0.9985876639695908,0.9969667167185516,0.9951038121138956,0.9947625397047585,0.9948697395878242,0.9926930181727782,0.9911816153913285,0.9899938354532625,0.9895381496616174,0.9907866411956254,0.9917159327014635,0.9918872421510041,0.993804558193871,0.9932010316298473,0.9946161030135601,0.997921591944373,0.9980962914220292,0.9972887674016168,0.9968740719897136
14,1.0319096597019346,1.035637231097259,1.0416235106312581,1.0459367568713906,1.037475439506767,1.0322705484445167,1.0236977806874277,1.0154219677380245,1.0087415270406581,1.0025784551980592,0.9971860629871432,0.9945545816021271,0.9909158068528422,0.9887687559502473,0.9864582657856485,0.9863426523812764,0.9869940860125022,0.9885976686405759,0.9899180342888061,0.9900698161897503,0.9926954576974997,0.9952455988861789,0.9973532318311897,1.0009604195912425,1.0053686304548102,1.0089628921190041,1.0115653837227385,1.0151786885175444,1.017580213507023,1.0170357659638722,1.0120407369042697,1.0088313347289797,1.0040453752894418,0.9994344480625492,0.9951669458845838,0.9913320513167789,0.9889681387703676,0.9879457457557129,0.9868401869631825,0.9867113404990135,0.9872851266823073,0.987122857735798,0.9865213280737789,0.9874195653293969,0.9895456573405931,0.9915268565842692,0.9936386595642464,0.9973239251978004,1.0009636801785884,1.0031475978163211,1.0060800334126376,1.0070511173966987,1.0043281398519193,1.0030619079258951,1.0032599547524377,1.0013080394629905,0.9989517207803769,0.9948023407118985,0.9932346115021831,0.9928939876187196,0.9903335761336962,0.9882136695859018,0.9867895869374728,0.9838438838257346,0.9851984864128167,0.9854660438072858,0.9859879053935052,0.9901563881497025,0.9896358030329633,0.991515121795729,0.9966956546489345,1.0002030077260233,0.9992833346962028,0.9988492358609763
15,1.0020379115860667,1.0061050090747812,1.0175186763995323,1.030029731332852,1.0460812647108786,1.0590707758529085,1.0677836434779107,1.0663595587924433,1.0511021971103354,1.036070124994259,1.0193983900503456,1.0074540327331192,0.9998174105937461,0.9940350707747424,0.9884330568707326,0.9847933338391854,0.9825425339418841,0.9827491964589576,0.9808076438718307,0.9790535937026282,0.979110600583947,0.9793586543463536,0.9791713439455835,0.9805606176172621,0.9821528244480661,0.9864067163274118,0.9917172883117406,1.001779113987171,1.0122799168632535,1.022986042385137,1.0338309915486437,1.0397183107170638,1.0375105723228688,1.0254104622630251,1.0136400417613982,1.0048338193205508,0.9970979979186144,0.9916200911658639,0.988013214621741,0.9839344481285319,0.9824379097495293,0.9798277396779209,0.9792337374246906,0.9783866946855793,0.9779132599184679,0.9778330443188581,0.9775789734084384,0.9795717157205677,0.9833260298665997,0.984337569317327,0.9912836385003573,0.9947402407414735,1.0001152367571877,1.0078477224498719,1.0146894897603689,1.021946009978404,1.0228048756448487,1.0184567747963245,1.0127583198934944,1.0080292374023594,0.9997448796126172,0.9951814731023967,0.9893263149010468,0.985822091791954,0.9846800188260897,0.9809243245268383,0.9805394589470389,0.9803204723249036,0.9785800250719078,0.9794544142344382,0.9814552079145232,0.979383514601526,0.9787786232023553,0.9803147361763047
16,1.0147826117887542,1.0145056202129916,1.0159926951245208,1.015224466892672,1.0144432334430875,1.0126991504548346,1.0110171285566416,1.0086274222747091,1.0062018436999127,1.0041311597443043,1.0019815303631685,1.0008588584929414,1.0005219457047172,0.9987218838364845,0.9977838624460207,0.9973545541272443,0.9974619828941752,0.9985440900321706,0.9968884738554863,0.9962778751570708,0.9961309693079229,0.9947586422912678,0.9956433459794165,0.9977068407149213,1.000540848316357,1.0027800524917594,1.0033759363874664,1.0047099745693118,1.0064494814477623,1.007658196677732,1.0063816386394437,1.005104076958975,1.0027082315892686,1.000768619938388,0.9985879285449527,0.9970960736997453,0.9959957271745875,0.9954408913898118,0.9944195223593721,0.9937890999167228,0.9936839246118254,0.9918845188868852,0.9919580504663856,0.9927765487626692,0.9931036203527921,0.9942348993181852,0.9966314372544753,0.9984237691649438,1.0002431414384134,1.00119513741115,1.0036259009310489,1.0039674834048296,1.003325734084615,1.0013273022255529,0.9999738447646644,0.9997232378352776,0.9990345052169424,0.9978199779871404,0.9969998006072378,0.9970187161170923,0.9952758520198484,0.9933667739918653,0.9926341067758899,0.9919701782031586,0.9930468652687373,0.9939037884967279,0.9940280069892006,0.9952794891927386,0.9949352847871843,0.9961107848180624,0.9999184124846462,0.9993528936614182,0.9990409744289549,1.0001185505423582
17,1.0059903128572414,1.0088838451486009,1.0171259264723695,1.0271111639805708,1.0408750655870003,1.0513652266667184,1.053100028641997,1.0499568437543303,1.0443414918703762,1.0298471061507375,1.0182211028501347,1.0103316349747096,1.0025273993747426,0.9961465345584039,0.9915391295422158,0.9876750605457038,0.9850340105763032,0.9853423484618313,0.9822998884989704,0.9813807745761461,0.9822337572228383,0.9825969975212736,0.9836593339326836,0.9867962830295205,0.9909261354029204,0.9966498032593238,1.0053938168276013,1.0143477949880941,1.0270011574641502,1.0345809408635367,1.0369404535794453,1.0300182264699689,1.0233200197307641,1.0149357489010802,1.0057685627051491,1.0008597950770453,0.9942745815633898,0.9910468037149919,0.9874711875989682,0.9862101532505887,0.9844437468994423,0.983131876479273,0.9822091234048513,0.981425188989489,0.9813968045669006,0.9808188961126516,0.9814662414752249,0.983321159544683,0.9866587031384507,0.9896527787257485,0.9944490146585823,0.998612002928707,1.0024229635390147,1.003536596868036,1.0092221695467867,1.0119978872118671,1.0102981779306697,1.0061337436555438,1.002337803557534,0.9992300632850993,0.9965462375554783,0.9902863271036565,0.9876910403040865,0.984558045193267,0.9841264563052952,0.9824758352898109,0.9822048741924311,0.9823984497800309,0.9804580705957817,0.9809510116441402,0.9830165095440335,0.982915682969449,0.9823042557281587,0.9831758130833902
18,1.0100447730569369,1.0129224022925856,1.0210927383603488,1.0325446413304342,1.039542471806803,1.049806999013869,1.0561218187390928,1.0531578432813513,1.038980172979381,1.027902676358867,1.014394287493535,1.0031413351102263,0.9972504529664679,0.9922975497435974,0.9868521871734812,0.9842434068632532,0.9824042779337984,0.9825351708735596,0.9823116542678165,0.9810922998374308,0.9811677001123349,0.9807961185824872,0.9814203358121517,0.9834128833804745,0.9859333377387746,0.9904968467628538,0.9975004977582476,1.007403184723454,1.0167684920551876,1.023679641516938,1.0263292729666642,1.0262623001226765,1.0217865757485312,1.0172509789930566,1.009973297907233,1.0041260157456915,0.9986469419480332,0.9942528650749859,0.9901081861320479,0.9885028900695094,0.9863012363155401,0.9835484318783837,0.9818772229828057,0.9812875495433461,0.9808956146234631,0.9818552276180632,0.9818068726558771,0.982858155916537,0.9856044225664401,0.9862557672129606,0.9922543425648518,0.996159099512261,1.0020755008968119,1.0064812130374508,1.0117304906925293,1.016241965428798,1.0163016268006813,1.0124216027926665,1.0105141494042735,1.0077337228325869,1.0024231394622338,0.9970456620550198,0.9937508501145482,0.9883177113850671,0.9874804370981913,0.9852015281336222,0.9846768256147544,0.9832150939860347,0.9814430001118064,0.9825180073062899,0.9849542639343485,0.9830395296724466,0.9825883828522525,0.9846838303628882
19,1.0089289405524178,1.011116567419605,1.016601780796986,1.0221286541097963,1.0259005869575584,1.0284636655129051,1.0288135007493624,1.0255109664274396,1.017808239038792,1.0113221368698022,1.005114814254847,0.9992241264472213,0.9955064742426939,0.9924437814499899,0.9887331357634225,0.9866890683056351,0.9864892140049695,0.9873539400090665,0.9872436633851998,0.986462888539519,0.9868539977610772,0.987628609828567,0.9896040794691463,0.9935996461093471,0.9987112859681432,1.0053977615936907,1.0129080593838617,1.018051594681245,1.024612212692457,1.026483413990497,1.026904164718346,1.0218414757570768,1.015533689507535,1.0083255448428552,1.00255966018261,0.9965057847602878,0.9935011000491669,0.9898547292900095,0.9884830145383249,0.9869296914357895,0.9858296023932319,0.9851900899469448,0.9849225006085042,0.9848541876091255,0.9855145438625134,0.9873539392833736,0.9896062125848726,0.993684991450797,0.996723179208404,0.9985426599082236,1.0043212981821585,1.0077864368887501,1.0102569213703378,1.0125628860251912,1.0131907285567703,1.0121413958719754,1.009210575418333,1.005299305975201,1.0019376889899088,0.9988151539433946,0.9947985953663551,0.9915068363922904,0.9890613014351293,0.9869778946144901,0.9870328412402808,0.9864266400317135,0.9861631531803466,0.9863746455953458,0.9853307974380471,0.9868902659453636,0.9900237656695458,0.9902460324522028,0.9909437100647148,0.9943335610989081
20,1.0143337842036781,1.0148956133725264,1.0210546730440029,1.0255295762214425,1.0274296667870106,1.0242331556943134,1.0200999029104154,1.0147040128871483,1.0092136806070449,1.0049515231661927,1.0009507282972783,0.9964827765106051,0.9946667804586559,0.9924945399390507,0.9903266982051528,0.9897318567401305,0.9896913473480676,0.9906951843579518,0.9898220455421345,0.9891006416219228,0.9908129373567705,0.9917125100374383,0.9941598394836905,0.9968137763774263,0.9991451279958253,1.0027422427710113,1.0065917658949433,1.0109649098915092,1.0135272178470416,1.0144486625944333,1.010563714965262,1.0078214268645234,1.003822403123771,1.0001916440210903,0.9967457518504339,0.9938792626806304,0.9920532798395334,0.990792268853958,0.9901507895443477,0.9901972403506345,0.9896007977636041,0.9886437118647845,0.9887806660740147,0.9893973434691083,0.9901742629000886,0.9913272879139023,0.9937496848039711,0.9961189924293812,0.9990038785127312,0.9991838013002958,1.0040737648403575,1.0058287714485432,1.0077057680597539,1.006818846887779,1.0060540686431632,1.0039476792755402,1.0008666747235935,0.998323249563152,0.9963088543826495,0.9966586108056389,0.9927886665291721,0.9910082181266769,0.9885716381937377,0.9876583308609219,0.9881774511758875,0.9891821930589247,0.9922910394062897,0.9936997794150763,0.9938030573402635,0.9971421010615455,1.003967971892382,1.0093320313759253,1.0109154553623991,1.0113503902797427
